rank,indicator,ind_type,sp500_signed_r,sp500_significant,sp500_granger_sig,sp500_granger_p,kospi_signed_r,kospi_significant,kospi_granger_sig,kospi_granger_p,combined_weight,direction_label
1,HY_SPREAD,diff,-0.6193,True,False,0.333427,-0.1157,True,True,0.003949,0.2981,bearish
2,DXY,diff,-0.3657,True,False,0.276898,-0.1674,True,True,1e-06,0.296,bearish
4,INSTITUTION_NET,weekly_flow,0.0651,False,True,0.015327,0.3613,True,False,0.067906,0.2597,bullish
5,US10Y,diff,-0.2438,True,False,0.137916,-0.0053,False,True,0.04072,0.2366,bearish
6,MARKET_STRENGTH,level,0.2219,True,False,0.223593,0.1324,True,True,0.000518,0.2354,bullish
8,FOREIGN_NET,weekly_flow,0.0584,False,False,0.400764,0.3238,True,True,0.002963,0.2318,bullish
10,VIX,level,-0.2159,True,False,0.069673,-0.0875,False,True,0.0,0.2216,bearish
13,BBAND,level,0.3725,True,True,0.023258,0.1514,True,True,0.0,0.0524,bullish
15,STOCH_RSI,level,0.3065,True,False,0.514495,0.1144,True,True,0.000308,0.0421,bullish
16,MARKET_MOMENTUM,level,0.2374,True,True,0.03394,0.1335,True,True,0.0,0.0371,bullish
18,WTI,diff,-0.342,True,False,0.195739,-0.0934,False,False,0.111811,0.0342,bearish
21,T10Y2Y,diff,-0.0901,False,False,0.246719,-0.1384,True,False,0.467492,0.0138,bearish
