market,beta,correlation,p_value,stock_return_pct,index_return_pct,period_days,period_label,market_cap_b,market_cap_start_b,contribution_score,n_days,data_quality,data_source,ticker,name,warn_reason
SP500,1.3571,0.5628,0.0,82.93,18.27,249,1년 (365일),4231.5,2313.1,1.0843,249,검증불필요,yfinance,GOOGL,Alphabet Inc. (Class A),
SP500,0.8688,0.4488,0.0,57.69,18.27,249,1년 (365일),4901.8,3108.4,0.8074,249,검증불필요,yfinance,AAPL,Apple Inc.,
SP500,1.8842,0.6627,0.0,18.5,18.27,249,1년 (365일),4912.3,4145.5,0.5094,249,검증불필요,yfinance,NVDA,Nvidia,
SP500,3.232,0.533,0.0,650.96,18.27,249,1년 (365일),958.8,127.7,0.4777,249,검증불필요,yfinance,MU,Micron Technology,"극단 수익률 +651.0% — 기업 이벤트(분사/합병/테마) 가능성, 수동 확인 권장"
SP500,3.0644,0.5608,0.0,215.77,18.27,249,1년 (365일),808.4,256.0,0.3219,249,검증불필요,yfinance,AMD,Advanced Micro Devices,
KOSPI,0.4085,0.4656,0.0,44.78,105.28,242,1년 (365일),44.8,31.0,0.0085,242,검증완료,FDR,105560.KS,KB금융,
KOSPI,1.0488,0.5965,0.0,117.64,105.28,242,1년 (365일),3.3,1.5,0.0081,242,검증완료,FDR,000990.KS,DB하이텍,
KOSPI,0.9139,0.6773,0.0,50.71,105.28,242,1년 (365일),20.1,13.3,0.008,242,검증완료,FDR,267260.KS,HD현대일렉트릭,
KOSPI,0.6908,0.2938,3e-06,148.65,105.28,242,1년 (365일),1.0,0.4,0.0045,242,검증완료,FDR,322000.KS,HD현대에너지솔루션,
KOSPI,0.7951,0.4157,0.0,90.05,105.28,242,1년 (365일),1.0,0.5,0.0039,242,검증완료,FDR,097230.KS,HJ중공업,
